harmful_idx,harmful_image,rank,safe_image,similarity,selected
0,-Do_with_less_so_they'll_have_enough-_-_NARA_-_513838_cleaned.jpg,1,Franklin-D-Roosevelt-1937.jpeg,0.6462,
0,-Do_with_less_so_they'll_have_enough-_-_NARA_-_513838_cleaned.jpg,2,Stalin_in_July_1941-scaled.jpg,0.644,
0,-Do_with_less_so_they'll_have_enough-_-_NARA_-_513838_cleaned.jpg,3,900_Boy Scouts Jamboree.jpg,0.6385,
0,-Do_with_less_so_they'll_have_enough-_-_NARA_-_513838_cleaned.jpg,4,images-3 copy.jpg,0.6381,
0,-Do_with_less_so_they'll_have_enough-_-_NARA_-_513838_cleaned.jpg,5,Little_Red_Riding_Hood_-_J._W._Smith.jpg,0.6348,
0,-Do_with_less_so_they'll_have_enough-_-_NARA_-_513838_cleaned.jpg,6,sized-170983061.jpeg,0.6335,
0,-Do_with_less_so_they'll_have_enough-_-_NARA_-_513838_cleaned.jpg,7,"Raising_the_Flag_on_Iwo_Jima,_larger_-_edit1.jpg",0.6331,
0,-Do_with_less_so_they'll_have_enough-_-_NARA_-_513838_cleaned.jpg,8,Registry-of-the-American-Soldier.png,0.6312,
0,-Do_with_less_so_they'll_have_enough-_-_NARA_-_513838_cleaned.jpg,9,Joseph-Stalin-1950.jpeg,0.6251,
0,-Do_with_less_so_they'll_have_enough-_-_NARA_-_513838_cleaned.jpg,10,images-2 copy.jpg,0.6246,
1,166984289_yj3ay8.jpeg,1,Imam_Khomeini_in_Mehrabad.jpg,0.7536,
1,166984289_yj3ay8.jpeg,2,693.jpg,0.7241,
1,166984289_yj3ay8.jpeg,3,Screenshot 2026-07-30 at 11.26.00 PM.png,0.7209,
1,166984289_yj3ay8.jpeg,4,rtr3xjay.jpg,0.7098,
1,166984289_yj3ay8.jpeg,5,npr.brightspotcdn copy.jpg,0.7095,
1,166984289_yj3ay8.jpeg,6,Mao-Zedong.jpeg,0.7068,
1,166984289_yj3ay8.jpeg,7,Stalin_in_July_1941-scaled.jpg,0.7034,
1,166984289_yj3ay8.jpeg,8,23macfarquharWeb-superJumbo.jpg,0.7032,
1,166984289_yj3ay8.jpeg,9,2023-09-30T051708Z_985728_RC2PI3A53UNF_RTRMADP_3_CHINA-ANNIVERSARY-2-1.webp,0.6949,
1,166984289_yj3ay8.jpeg,10,"Mao_Tsé-toung,_portrait_en_buste,_assis,_faisant_face_à_Nikita_Khrouchtchev,_pendant_la_visite_du_chef_russe_1958_à_Pékin_(Mao_Zedong).jpg",0.6934,
2,177213330-56a2b3c63df78cf77278f29a.jpg,1,slide_336579_3401508_free.jpg,0.827,
2,177213330-56a2b3c63df78cf77278f29a.jpg,2,King_Kong_1933_Promotional_Image.png,0.7063,
2,177213330-56a2b3c63df78cf77278f29a.jpg,3,istockphoto-874876140-170667a.jpg,0.7049,
2,177213330-56a2b3c63df78cf77278f29a.jpg,4,HONDA_ASIMO.jpg,0.704,
2,177213330-56a2b3c63df78cf77278f29a.jpg,5,Large-crowd-of-people-014.jpg,0.6997,
2,177213330-56a2b3c63df78cf77278f29a.jpg,6,President_Barack_Obama.jpg,0.6876,
2,177213330-56a2b3c63df78cf77278f29a.jpg,7,Le_Penseur_by_Rodin_(Kunsthalle_Bielefeld)_2014-04-10.JPG,0.6858,
2,177213330-56a2b3c63df78cf77278f29a.jpg,8,WorldBall-inflatable-globe4__86540.jpg,0.6827,
2,177213330-56a2b3c63df78cf77278f29a.jpg,9,db12166e-abdc-4a7c-b7c0-067d2ea2572a.jpeg,0.6814,
2,177213330-56a2b3c63df78cf77278f29a.jpg,10,photo-1506755594592-349d12a7c52a.jpeg,0.6788,
3,1917_740x.jpeg,1,"71-DuJMBshL._AC_UF1000,1000_QL80_.jpg",0.6961,
3,1917_740x.jpeg,2,Vladimir_Lenin.jpeg,0.6913,
3,1917_740x.jpeg,3,Stalin_in_July_1941-scaled.jpg,0.6717,
3,1917_740x.jpeg,4,Vladimir_Lenin_a_colori_(cropped).jpg,0.6672,
3,1917_740x.jpeg,5,images-2 copy.jpg,0.6642,
3,1917_740x.jpeg,6,Joseph-Stalin-1950.jpeg,0.6527,
3,1917_740x.jpeg,7,Che_Guevara_-_Guerrillero_Heroico_by_Alberto_Korda.jpg,0.6462,
3,1917_740x.jpeg,8,Screenshot 2026-09-13 at 2.38.07 PM.png,0.6457,
3,1917_740x.jpeg,9,images-3 copy.jpg,0.6454,
3,1917_740x.jpeg,10,il_fullxfull.2946516750_ao6g.jpeg,0.641,
4,1944-kultur-terror.jpg,1,NPG-78T0884A_1.jpg,0.6802,
4,1944-kultur-terror.jpg,2,900_Boy Scouts Jamboree.jpg,0.6591,
4,1944-kultur-terror.jpg,3,"Raising_the_Flag_on_Iwo_Jima,_larger_-_edit1.jpg",0.644,
4,1944-kultur-terror.jpg,4,Stalin_in_July_1941-scaled.jpg,0.6429,
4,1944-kultur-terror.jpg,5,"71-DuJMBshL._AC_UF1000,1000_QL80_.jpg",0.6422,
4,1944-kultur-terror.jpg,6,Polyester-American-flag-closeup-angle_6647de24-6210-4bb8-a86f-2b0c5923c020.jpeg,0.6346,
4,1944-kultur-terror.jpg,7,Joseph-Stalin-1950.jpeg,0.6326,
4,1944-kultur-terror.jpg,8,images-3 copy.jpg,0.6283,
4,1944-kultur-terror.jpg,9,King_Kong_1933_Promotional_Image.png,0.6251,
4,1944-kultur-terror.jpg,10,Registry-of-the-American-Soldier.png,0.6246,
5,1944_JonWhitcomb_USNavy_(3214638694).jpg,1,900_Boy Scouts Jamboree.jpg,0.6632,
5,1944_JonWhitcomb_USNavy_(3214638694).jpg,2,"Worker and supervisor at a car factory, Moscow, 1954.jpg",0.6601,
5,1944_JonWhitcomb_USNavy_(3214638694).jpg,3,Polyester-American-flag-closeup-angle_6647de24-6210-4bb8-a86f-2b0c5923c020.jpeg,0.658,
5,1944_JonWhitcomb_USNavy_(3214638694).jpg,4,"Raising_the_Flag_on_Iwo_Jima,_larger_-_edit1.jpg",0.6541,
5,1944_JonWhitcomb_USNavy_(3214638694).jpg,5,vintage-female-mechanic-stockcake.jpg,0.6267,
5,1944_JonWhitcomb_USNavy_(3214638694).jpg,6,Registry-of-the-American-Soldier.png,0.6234,
5,1944_JonWhitcomb_USNavy_(3214638694).jpg,7,RIAN_archive_633872_Workers_of_Soligorsk_potash_plant.jpg,0.6218,
5,1944_JonWhitcomb_USNavy_(3214638694).jpg,8,900_Row-One-Brand_1964-coke-ad-remix-final-row-1.jpg,0.6211,
5,1944_JonWhitcomb_USNavy_(3214638694).jpg,9,Franklin-D-Roosevelt-1937.jpeg,0.618,
5,1944_JonWhitcomb_USNavy_(3214638694).jpg,10,images-51.jpg,0.6151,
6,19july_1080x.jpeg,1,zunzun no.2  dia de las far castro.jpg,0.6821,
6,19july_1080x.jpeg,2,"71-DuJMBshL._AC_UF1000,1000_QL80_.jpg",0.6723,
6,19july_1080x.jpeg,3,Che_Guevara_-_Guerrillero_Heroico_by_Alberto_Korda.jpg,0.6657,
6,19july_1080x.jpeg,4,Stalin_in_July_1941-scaled.jpg,0.6644,
6,19july_1080x.jpeg,5,"Mao_Tsé-toung,_portrait_en_buste,_assis,_faisant_face_à_Nikita_Khrouchtchev,_pendant_la_visite_du_chef_russe_1958_à_Pékin_(Mao_Zedong).jpg",0.6613,
6,19july_1080x.jpeg,6,GrIbt2WXgAArYDk.jpg,0.6593,
6,19july_1080x.jpeg,7,141013-che-guevara-716x1024.jpg,0.6562,
